round_id,crashed_at,total_bank_usd,users_count,start_at,profit_loss
6964162,1.41,186.3,46,2025-09-01T06:12:58.163800+00:00,73.3608
6964163,4.34,231.42,50,2025-09-01T06:13:15.673400+00:00,-236.473
6964164,1.0,221.27,50,2025-09-01T06:13:47.213800+00:00,221.27
6964165,1.05,442.29,89,2025-09-01T06:14:00.509300+00:00,400.1124
6964166,283.0,364.5,65,2025-09-01T06:14:14.423300+00:00,-273.4457
6964167,5.04,238.06,47,2025-09-01T06:15:38.577100+00:00,-194.8551
6964168,38.86,155.66,39,2025-09-01T06:16:12.041500+00:00,-81.113
6964169,1.91,148.91,36,2025-09-01T06:17:11.159500+00:00,32.5034
6964170,20.77,226.23,60,2025-09-01T06:17:32.514700+00:00,-181.6888
6964171,1.0,239.68,46,2025-09-01T06:18:23.843600+00:00,239.68
6964172,1.77,304.38,66,2025-09-01T06:18:37.071400+00:00,80.7474
6964173,1.0,222.83,53,2025-09-01T06:18:57.402600+00:00,222.83
6964174,3.61,374.66,79,2025-09-01T06:19:10.641900+00:00,-340.7774
6964175,1.55,219.23,47,2025-09-01T06:19:39.912500+00:00,70.7045
6964176,1.42,178.76,41,2025-09-01T06:19:58.562500+00:00,104.6364
6964177,1.11,217.33,45,2025-09-01T06:20:16.153900+00:00,171.7778
6964178,1.0,303.83,58,2025-09-01T06:20:30.671700+00:00,303.83
6964179,1.43,319.16,64,2025-09-01T06:20:43.935000+00:00,139.793
6964180,1.86,194.37,49,2025-09-01T06:21:01.617200+00:00,0.7143
6964181,6.98,210.72,46,2025-09-01T06:21:22.515200+00:00,-131.6141
6964182,2.24,206.25,48,2025-09-01T06:22:00.023600+00:00,-12.8917
6964183,2.01,201.99,46,2025-09-01T06:22:23.279300+00:00,-21.2834
6964184,1.18,158.51,37,2025-09-01T06:22:45.214200+00:00,141.0615
6964185,18.44,286.4,58,2025-09-01T06:23:00.463600+00:00,-252.4032
6964186,5.78,188.78,44,2025-09-01T06:23:50.284700+00:00,-208.5349
6964187,1.0,216.43,50,2025-09-01T06:24:25.549200+00:00,216.43
6964188,1.0,327.57,70,2025-09-01T06:24:38.827900+00:00,327.57
6964189,1.9,350.41,75,2025-09-01T06:24:52.147800+00:00,60.6257
6964190,2.19,213.73,47,2025-09-01T06:25:13.372100+00:00,-29.6981
